Product_name;Category;Price;Quantity;Description
Laptop;Electronics;799.99;50;Powerful laptop with high-performance features.
Smartwatch;Electronics;149.99;100;Stylish smartwatch with fitness tracking.
Headphones;Electronics;69.95;75;Over-ear headphones with noise-canceling.
Running Shoes;Clothing;59.95;120;Comfortable running shoes for active lifestyles.
T-Shirt;Clothing;14.99;200;Basic cotton t-shirt in various colors.
Jeans;Clothing;39.95;80;Classic denim jeans for everyday wear.
Coffee Maker;Home Appliances;129.99;40;Drip coffee maker with programmable features.
Throw Pillow;Home Decor;19.99;150;Decorative throw pillow for sofas and beds.
Desk Lamp;Home Decor;34.50;60;Adjustable desk lamp with LED lighting.
Mystery Novel;Books;12.99;90;Gripping mystery novel by a bestselling author.
Blender;Kitchen;79.99;30;High-powered blender for smoothies and more.
Backpack;Accessories;49.50;100;Durable backpack for daily use or travel.
Umbrella;Accessories;9.95;180;Compact umbrella with automatic open/close.
Plant Pot;Home Decor;8.50;120;Small ceramic plant pot for indoor plants.
Wireless Mouse;Electronics;24.95;50;Wireless mouse with ergonomic design.
;;;;
